gloss,definition_en,source,weight
JUSS,jussive,Wikipedia,1
KIN,kinship,Wikipedia,1
KNWN,known,Wikipedia,1
L,local (exophoric) person,Wikipedia,1
LAT,lative,Wikipedia,1
LCL,limited control,Wikipedia,1
LCV,locative,Wikipedia,1
LH,left hand,lingglosses,1
LIG,ligature,Wikipedia,1
LIM,limitative,Wikipedia,1
LINK,linker,Wikipedia,1
LK,linker,Wikipedia,1
LKLY,likely,Wikipedia,1
LL,land gender,Wikipedia,0
LL,lower level,Wikipedia,1
LM,landmark,Wikipedia,1
LMT,limitative,Wikipedia,1
LNK,linker,Wikipedia,1
LOAN,loanword,lingglosses,1
LOC,locative,Leipzig Glossing Rules,1
LOG,logophor,Wikipedia,1
LOQ,delocutive,Wikipedia,1
LS,lexical stem,Wikipedia,1
LV,location voice,Wikipedia,1
M,masculine,Leipzig Glossing Rules,1
MAL,malefactive,Wikipedia,1
MAN,manner,Wikipedia,1
MASC,masculine,lingglosses,1
MASD,masdar,Wikipedia,1
MDU,male dual,lingglosses,1
MEA,measure,Wikipedia,1
MED,medial,lingglosses,0
MED,mediative,Wikipedia,1
MID,mediopassive,Wikipedia,0
MID,middle voice,Wikipedia,1
MIM,mimetic,Wikipedia,1
MIN,minimal,lingglosses,1
MIR,mirative,Wikipedia,1
MIRN,negative mirative,Wikipedia,1
MIS,miscellaneous gender,Wikipedia,1
MIT,mitigation,Wikipedia,1
MIXED,mixed declension class,lingglosses,1
MLOC,modal locative,Wikipedia,1
MLTP,multiplicative,Wikipedia,1
MOD,modal,Wikipedia,1
MOD,modalis,Wikipedia,0
MOD,modifier,Wikipedia,0
MOM,momentane,Wikipedia,1
MONO,monofocal person,Wikipedia,1
MOT,motion,Wikipedia,1
MOV,movement,Wikipedia,1
MP,modal particle,lingglosses,1
MPL,male plural,lingglosses,1
MSD,masdar,Wikipedia,1
MSG,male singular,lingglosses,1
MUL,multiplicative,Wikipedia,1
MULT,multal,Wikipedia,0
MULT,multiplicative,Wikipedia,1
MVMT,movoment,Wikipedia,1
MVR,mover,Wikipedia,1
N,neuter,Leipzig Glossing Rules,1
NACT,non-active,lingglosses,1
NARR,narrative,Wikipedia,1
NC,noncontrol,Wikipedia,0
NC,noun class,Wikipedia,1
NCOMPL,incompletive,Wikipedia,1
NDEF,indefinite,Wikipedia,1
NDU,neutral dual,lingglosses,1
NEC,necessitative,Wikipedia,1
NEG,negation,Leipzig Glossing Rules,1
NEGAT,negatory,Wikipedia,1
NEGO,non-egophoric,Wikipedia,1
NEU,neuter,lingglosses,1
NEUT,neuter,Wikipedia,1
NEX,non-extended,Wikipedia,1
NF,non-final,Wikipedia,0
NF,non-finite,Wikipedia,1
NFH,non-firsthand,Wikipedia,1
NFIN,non-finite,lingglosses,1
